alt	bull	gress	acro	chari	aspi	rubi
5.347361654	5.06651034	5.495734165	5.186268601	5.359822321	4.822487992	5.030794322
5.238804803	5.043692256	4.832125031	5.093539104	4.693799384	4.815067518	4.789516339
5.024346039	4.80202726	4.521630049	4.612615614	4.407671108	4.497653928	4.640013797
4.992600214	4.475334807	4.464390426	4.51255166	4.334087462	4.350342428	4.290880994
4.919823236	4.278170569	4.419324159	4.427987465	4.233126379	4.212327196	4.267320537
4.701280893	4.213932463	4.289988952	4.344629793	4.172223049	4.155631439	4.193848376
4.401595929	4.09560099	3.948737098	4.252076673	4.102716282	4.096204493	4.174450294
3.98074899	4.087177456	3.908945341	4.125915993	4.099221247	4.046200853	4.166052792
3.980253417	4.079673891	3.906542441	4.107585404	4.044599727	3.881448569	4.158530447
3.601943802	3.871988352	3.87137851	4.051176842	3.961886465	3.87229674	4.135072514
3.372906482	3.822166117	3.822576673	4.002711936	3.942738542	3.82682736	4.108334963
3.348176308	3.792491846	3.762005223	3.831408371	3.923066741	3.772316571	4.031240774
3.152624639	3.782465458	3.741780909	3.824073741	3.864273697	3.738216719	3.994361152
3.133612349	3.780158114	3.738225448	3.755218346	3.795485847	3.733142674	3.96266713
3.106439092	3.77612489	3.706469421	3.740640549	3.785726215	3.705470275	3.934365112
3.070385163	3.766879611	3.672629774	3.716730178	3.713355278	3.702344358	3.876250758
3.013561849	3.762189238	3.670906073	3.705554124	3.667480971	3.690981531	3.842592392
2.936910659	3.697836756	3.661638554	3.694613095	3.665231914	3.663876115	3.835554239
2.932722297	3.684782546	3.598225666	3.637024165	3.656040676	3.658311958	3.79872866
2.848497018	3.6138862	3.582375897	3.620315151	3.637266521	3.65711994	3.77025463
2.791866015	3.598577136	3.569500317	3.618991009	3.624174798	3.637718824	3.740315309
2.74998353	3.591308412	3.560592818	3.610116955	3.604747541	3.623305125	3.650538697
2.746898742	3.587165229	3.547826375	3.571633144	3.600966365	3.621905035	3.588924619
2.626104162	3.579585833	3.516914638	3.556090127	3.567180519	3.608962248	3.537424904
2.618037632	3.550405705	3.477002531	3.508139015	3.539372222	3.601589613	3.51339075
2.60773374	3.494966744	3.437680817	3.482178728	3.520246342	3.596988334	3.513019058
2.605811248	3.490810771	3.362273194	3.42041457	3.429259585	3.585799009	3.510518201
2.601342814	3.470147247	3.353331395	3.417260723	3.429065584	3.582689342	3.474576084
2.56816651	3.466174865	3.352107234	3.396732731	3.418902588	3.568216983	3.467217287
2.546555001	3.448788225	3.348069151	3.393582222	3.417307245	3.531144126	3.466603703
2.533708523	3.444673911	3.340461962	3.391949042	3.409204181	3.527797401	3.416480737
2.523746467	3.421419642	3.332555603	3.381928733	3.400377366	3.514097287	3.399900326
2.514959274	3.416172682	3.327914476	3.3794705	3.399135278	3.491274826	3.373154846
2.494669318	3.401915529	3.325185096	3.360841349	3.380147902	3.490840228	3.366097815
2.4911515	3.391353311	3.301921555	3.351863919	3.357856743	3.482127213	3.338287126
2.490127105	3.389164312	3.287382904	3.321005712	3.353602749	3.448417209	3.324973483
2.490084955	3.387131665	3.286844781	3.318426487	3.352520171	3.445189947	3.311883071
2.489550698	3.377839683	3.275186923	3.313075915	3.352161285	3.392893836	3.292645875
2.467830005	3.374577893	3.259954447	3.302029893	3.350716958	3.39056951	3.292174079
2.4499564	3.366419221	3.248152345	3.294455203	3.339922251	3.376998274	3.264432924
2.445806516	3.351989455	3.243596069	3.289174079	3.339558759	3.372558535	3.263425379
2.375297738	3.342233129	3.234532468	3.280229976	3.334887829	3.362222273	3.248914444
2.374656713	3.33751317	3.234451476	3.277146026	3.332838231	3.361759935	3.248524985
2.327297618	3.332454619	3.231497625	3.264421112	3.324724758	3.349817388	3.241802898
2.305028754	3.313578297	3.217510264	3.256960556	3.316712418	3.348039921	3.234147622
2.301702631	3.310253486	3.208994622	3.246850502	3.315794074	3.339952032	3.22990955
2.288450448	3.290190484	3.208073017	3.244497305	3.312566608	3.335481972	3.228479921
2.282848603	3.284471341	3.199637266	3.230484685	3.298704649	3.335056519	3.219013124
2.272885445	3.280535121	3.185983874	3.226970895	3.292027785	3.331190344	3.214313897
2.272166625	3.277499194	3.172235026	3.225482448	3.274658847	3.287875598	3.210171322
2.267805102	3.253892637	3.170748557	3.224913583	3.246382852	3.277306592	3.2006426
2.239299479	3.251986003	3.16382305	3.22325965	3.244709962	3.269510609	3.19862685
2.23192811	3.237312455	3.157163513	3.216102536	3.237551278	3.250610269	3.192720739
2.230857477	3.235962524	3.150827026	3.210131168	3.230538326	3.231099875	3.190793766
2.221831377	3.206431865	3.150326536	3.204708595	3.228903151	3.209568628	3.177103432
2.210264999	3.202076714	3.136412965	3.200210071	3.223472577	3.17935643	3.173465992
2.199041734	3.20056598	3.112179211	3.18968117	3.215772351	3.169315802	3.168983362
2.197170247	3.199565955	3.103926811	3.179970947	3.201334297	3.156412845	3.166394587
2.190919699	3.196944022	3.098899728	3.175830604	3.199678401	3.148463831	3.163146461
2.185627136	3.196714918	3.098453356	3.172903448	3.199253145	3.145640732	3.159043559
2.184634657	3.195694905	3.097118424	3.158380587	3.198390381	3.143919938	3.157976281
2.173827036	3.183386589	3.094617849	3.157369115	3.19491931	3.141963724	3.151188984
2.171492427	3.182662831	3.093530245	3.153695989	3.193057779	3.132458215	3.149616264
2.170261715	3.175978328	3.091663441	3.152731588	3.190530588	3.131599419	3.145535129
2.153357471	3.169786079	3.085097833	3.149902358	3.190057025	3.126838955	3.144053988
2.149742415	3.16194867	3.084887143	3.149899282	3.189296564	3.124125846	3.138277429
2.14866434	3.160756565	3.084247305	3.149723956	3.188765417	3.119793474	3.138151063
2.139658736	3.157066725	3.07879745	3.144624016	3.186769927	3.09725731	3.133043658
2.137543995	3.1570516	3.077912703	3.128383112	3.185406151	3.092994185	3.132358964
2.137290799	3.15540892	3.077763859	3.110485332	3.18047856	3.085846918	3.131871982
2.128786859	3.154661294	3.070481175	3.104036194	3.178274606	3.085254891	3.131474303
2.128496199	3.137284467	3.065643193	3.097260781	3.177187192	3.083900183	3.128970843
2.125741439	3.136682525	3.063603536	3.089208976	3.176594749	3.07708434	3.126361974
2.123818986	3.125884468	3.054272072	3.08528701	3.171869733	3.065542371	3.125178618
2.120442307	3.124315076	3.047165793	3.084054096	3.171653334	3.064828479	3.123351751
2.114043563	3.121783007	3.042232824	3.083671002	3.166166556	3.063070526	3.119193183
2.100060224	3.119602263	3.039386355	3.077440584	3.166024346	3.061946058	3.119137069
2.091913047	3.114510905	3.032570414	3.068827549	3.162358262	3.051156383	3.118148943
2.085076411	3.113823069	3.025309962	3.06711179	3.156900321	3.044375105	3.10635411
2.08170727	3.110697429	3.023001278	3.06523229	3.155803488	3.042390416	3.100721975
2.06595298	3.106204501	3.0225727	3.061780338	3.154755578	3.042331325	3.100115408
2.065019214	3.104224133	3.021776234	3.058612002	3.153284244	3.035621826	3.095089113
2.058160203	3.103054173	3.0204773	3.055741366	3.14689358	3.032022103	3.092573282
2.057399817	3.101911965	3.019996455	3.054628373	3.146317223	3.023631016	3.088855181
2.049024098	3.099877375	3.016364679	3.054417693	3.140385468	3.020725804	3.08725242
2.04406915	3.091884929	3.010918725	3.052836247	3.137458557	3.007278247	3.084683498
2.042221002	3.089799173	3.008966187	3.052405342	3.134766608	2.998529598	3.082613054
2.040127442	3.08929738	3.007948241	3.051449671	3.134291884	2.989249533	3.080395571
2.032940938	3.086555575	2.997906003	3.050584673	3.131689223	2.985574657	3.079000252
2.031327658	3.0793694	2.994123503	3.049450618	3.128667389	2.985215339	3.078137687
2.029383778	3.077880034	2.98463981	3.047878176	3.128438043	2.979070114	3.077120705
2.02905895	3.07518916	2.982547103	3.045628052	3.127461163	2.970941648	3.072837875
2.024033898	3.072995758	2.98190917	3.040384743	3.118327567	2.968865706	3.069527502
2.023128946	3.065273397	2.981619302	3.032840283	3.118122474	2.968165284	3.065855962
2.007491733	3.057437868	2.980462435	3.032151179	3.11254803	2.954560875	3.057719342
2.007320953	3.053451085	2.979734981	3.028258025	3.112075215	2.953977026	3.054310398
2.001820217	3.051627092	2.978408793	3.024649831	3.110943062	2.952467932	3.054007531
